"station_id","name","address","position_lat","position_lng","banking","bonus"
1,CLARENDON ROW,Clarendon Row,53.3409,-6.2625,0,0
2,BLESSINGTON STREET,Blessington Street,53.3568,-6.26814,0,0
3,BOLTON STREET,Bolton Street,53.3512,-6.26986,0,0
4,GREEK STREET,Greek Street,53.3469,-6.27298,0,0
5,CHARLEMONT PLACE,Charlemont Street,53.3307,-6.26018,0,0
6,CHRISTCHURCH PLACE,Christchurch Place,53.3434,-6.27012,0,0
7,HIGH STREET,High Street,53.3436,-6.27507,0,0
8,CUSTOM HOUSE QUAY,Custom House Quay,53.3479,-6.24805,0,0
9,EXCHEQUER STREET,Exchequer Street,53.343,-6.26358,0,0
10,DAME STREET,Dame Street,53.344,-6.2668,1,0
11,EARLSFORT TERRACE,Earlsfort Terrace,53.3343,-6.2585,0,0
12,ECCLES STREET,Eccles Street,53.3592,-6.26978,0,0
13,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.3361,-6.25282,0,0
14,FOWNES STREET UPPER,Fownes Street Upper,53.3446,-6.26337,0,0
15,HARDWICKE STREET,Hardwicke Street,53.3555,-6.26442,0,0
16,GEORGES QUAY,Georges Quay,53.3475,-6.25219,0,0
17,GOLDEN LANE,Golden Lane,53.3408,-6.26773,0,0
18,GRANTHAM STREET,Grantham Street,53.3341,-6.26544,0,0
19,HERBERT PLACE,Herbert Place,53.3344,-6.24557,0,0
20,JAMES STREET EAST,James Street East,53.3366,-6.24811,0,0
21,LEINSTER STREET SOUTH,Leinster Street South,53.3422,-6.25449,0,0
22,TOWNSEND STREET,Townsend Street,53.3459,-6.25461,0,0
23,CUSTOM HOUSE,Custom House,53.3483,-6.25466,0,0
24,CATHAL BRUGHA STREET,Cathal Brugha Street,53.3521,-6.26053,0,0
25,MERRION SQUARE EAST,Merrion Square East,53.3394,-6.24655,0,0
26,MERRION SQUARE WEST,Merrion Square West,53.3398,-6.25199,1,0
27,MOLESWORTH STREET,Molesworth Street,53.3413,-6.25812,0,0
28,MOUNTJOY SQUARE WEST,Mountjoy Square West,53.3563,-6.25859,0,0
29,ORMOND QUAY UPPER,Ormond Quay Upper,53.3461,-6.268,0,0
30,PARNELL SQUARE NORTH,Parnell Square North,53.3537,-6.2653,0,0
31,PARNELL STREET,Parnell Street,53.3509,-6.26512,0,0
32,PEARSE STREET,Pearse Street,53.3443,-6.25043,0,0
33,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,53.349,-6.26031,1,0
34,PORTOBELLO HARBOUR,Portobello Harbour,53.3304,-6.26516,0,0
35,SMITHFIELD,Smithfield,53.3477,-6.27821,0,0
36,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,53.3378,-6.25603,0,0
37,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,53.3375,-6.26199,1,0
38,TALBOT STREET,Talbot Street,53.351,-6.25294,0,0
39,WILTON TERRACE,Wilton Terrace,53.3324,-6.25272,0,0
40,JERVIS STREET,Jervis Street,53.3483,-6.26665,0,0
41,HARCOURT TERRACE,Harcourt Terrace,53.3328,-6.25794,0,0
42,SMITHFIELD NORTH,Smithfield North,53.3496,-6.2782,0,0
43,PORTOBELLO ROAD,Portobello Road,53.3301,-6.26804,0,0
